Date,Total_Tweets
2020/01/19,3264
2020/01/20,3912
2020/01/21,4214
2020/01/22,3625
2020/01/23,3629
2020/01/24,3076
2020/01/25,2930
2020/01/26,2833
2020/01/27,3146
2020/01/28,3951
2020/01/29,3844
2020/01/30,3928
2020/01/31,3507
2020/02/01,3298
2020/02/02,3924
2020/02/03,4094
2020/02/04,3989
2020/02/05,4835
2020/02/06,4277
2020/02/07,4363
2020/02/08,3934
2020/02/09,4307
2020/02/10,3940
2020/02/11,4876
2020/02/12,5840
2020/02/13,6045
2020/02/14,3995
2020/02/15,3712
2020/02/16,3174
2020/02/17,4413
2020/02/18,5403
2020/02/19,4294
2020/02/20,4128
2020/02/21,4166
2020/02/22,4822
2020/02/23,4097
2020/02/24,4748
2020/02/25,3707
2020/02/26,4174
2020/02/27,4109
2020/02/28,6553
2020/02/29,4712
2020/03/01,3433
2020/03/02,4780
2020/03/03,3540
2020/03/04,4265
2020/03/05,4149
2020/03/06,3379
2020/03/07,2936
2020/03/08,3217
2020/03/09,3012
2020/03/10,3275
2020/03/11,3044
2020/03/12,4013
2020/03/13,3492
2020/03/14,2441
2020/03/15,2234
2020/03/16,2651
2020/03/17,3001
2020/03/18,2566
2020/03/19,2479
2020/03/20,2770
2020/03/21,2575
2020/03/22,2904
2020/03/23,2652
2020/03/24,2607
2020/03/25,2713
2020/03/26,2910
2020/03/27,2498
2020/03/28,3254
2020/03/29,2748
2020/03/30,2513
2020/03/31,2682
2020/04/01,2749
2020/04/02,2575
2020/04/03,2672
2020/04/04,2814
2020/04/05,2283
2020/04/06,3413
2020/04/07,4052
2020/04/08,3163
2020/04/09,2818
2020/04/10,2801
2020/04/11,3019
2020/04/12,2920
2020/04/13,3132
2020/04/14,4488
2020/04/15,3129
2020/04/16,4429
2020/04/17,3592
2020/04/18,5103
2020/04/19,5176
2020/04/20,4023
2020/04/21,5437
2020/04/22,5296
2020/04/23,5692
2020/04/24,4233
2020/04/25,3861
2020/04/26,5986
2020/04/27,4227
2020/04/28,4309
2020/04/29,4554
2020/04/30,4570
2020/05/01,6749
2020/05/02,5369
2020/05/03,5292
2020/05/04,3923
2020/05/05,4672
2020/05/06,4393
2020/05/07,3894
2020/05/08,3870
2020/05/09,4038
2020/05/10,2760
2020/05/11,3923
2020/05/12,4661
2020/05/13,4296
2020/05/14,5462
2020/05/15,3888
2020/05/16,3445
2020/05/17,3954
2020/05/18,5434
2020/05/19,5521
2020/05/20,5284
2020/05/21,5992
2020/05/22,4502
2020/05/23,3445
2020/05/24,4564
2020/05/25,5192
2020/05/26,4945
2020/05/27,4335
2020/05/28,3474
2020/05/29,5122
2020/05/30,4695
2020/05/31,3985
2020/06/01,4614
2020/06/02,4719
2020/06/03,3716
2020/06/04,4122
2020/06/05,4207
2020/06/06,4816
2020/06/07,3361
2020/06/08,6127
2020/06/09,5477
2020/06/10,5872
2020/06/11,4404
2020/06/12,3678
2020/06/13,5230
2020/06/14,5036
2020/06/15,4998
2020/06/16,5431
2020/06/17,8035
2020/06/18,5129
2020/06/19,4513
2020/06/20,3483
2020/06/21,3878
2020/06/22,5265
2020/06/23,5223
2020/06/24,4538
2020/06/25,3298
2020/06/26,3521
2020/06/27,3164
2020/06/28,4318
2020/06/29,4349
2020/06/30,3845
2020/07/01,4544
2020/07/02,4332
2020/07/03,4064
2020/07/04,4052
2020/07/05,3666
2020/07/06,5520
2020/07/07,5571
2020/07/08,5357
2020/07/09,4253
2020/07/10,10018
2020/07/11,5952
2020/07/12,5084
2020/07/13,7493
2020/07/14,5033
2020/07/15,3792
2020/07/16,4095
2020/07/17,3609
2020/07/18,null
2020/07/19,3418
2020/07/20,3521
2020/07/21,4436
2020/07/22,5609
2020/07/23,7211
2020/07/24,6596
2020/07/25,7078
2020/07/26,5901
2020/07/27,6908
2020/07/28,5404
2020/07/29,7099
2020/07/30,8472
2020/07/31,6756
2020/08/01,8828
2020/08/02,12290
2020/08/03,11558
2020/08/04,9095
2020/08/05,7857
2020/08/06,10650
2020/08/07,11080
2020/08/08,6259
2020/08/09,6486
2020/08/10,6523
2020/08/11,5735
2020/08/12,6442
2020/08/13,8445
2020/08/14,8426
2020/08/15,6443
2020/08/16,5871
2020/08/17,6165
2020/08/18,5653
2020/08/19,5234
2020/08/20,5204
2020/08/21,4887
2020/08/22,5202
2020/08/23,6153
2020/08/24,6115
2020/08/25,6068
2020/08/26,7461
2020/08/27,9005
2020/08/28,6517
2020/08/29,6138
2020/08/30,5862
2020/08/31,6420
2020/09/01,12058
2020/09/02,7617
2020/09/03,6715
2020/09/04,5321
2020/09/05,5590
2020/09/06,9573
2020/09/07,9802
2020/09/08,8913
2020/09/09,5891
2020/09/10,6306
2020/09/11,7083
2020/09/12,6739
2020/09/13,9144
2020/09/14,7276
2020/09/15,8857
2020/09/16,6985
2020/09/17,8006
2020/09/18,8422
2020/09/19,8173
2020/09/20,7237
2020/09/21,5802
2020/09/22,6579
2020/09/23,6825
2020/09/24,8710
2020/09/25,11497
2020/09/26,7610
2020/09/27,6694
2020/09/28,7340
2020/09/29,5738
2020/09/30,5677
2020/10/01,8086
2020/10/02,11339
2020/10/03,7397
2020/10/04,9397
2020/10/05,8508
2020/10/06,5192
2020/10/07,11569
2020/10/08,13049
2020/10/09,14043
2020/10/10,6577
2020/10/11,8248
2020/10/12,7241
2020/10/13,8311
2020/10/14,9095
2020/10/15,8731
2020/10/16,12522
2020/10/17,15998
2020/10/18,21066
2020/10/19,19447
2020/10/20,15321
2020/10/21,8048
2020/10/22,8587
2020/10/23,6199
2020/10/24,7755
2020/10/25,9459
2020/10/26,8140
2020/10/27,6860
2020/10/28,9320
2020/10/29,8022
2020/10/30,7375
2020/10/31,5592
2020/11/01,7593
2020/11/02,11233
2020/11/03,7229
2020/11/04,6905
2020/11/05,6444
2020/11/06,7494
2020/11/07,7694
2020/11/08,6252
2020/11/09,11813
2020/11/10,8386
2020/11/11,13481
2020/11/12,9993
2020/11/13,8850
2020/11/14,10032
2020/11/15,12977
2020/11/16,10906
2020/11/17,13800
2020/11/18,6823
2020/11/19,6267
2020/11/20,9980
2020/11/21,10578
2020/11/22,9386
2020/11/23,10300
2020/11/24,7888
2020/11/25,5570
2020/11/26,6361
2020/11/27,8541
2020/11/28,7852
2020/11/29,8112
2020/11/30,11239
2020/12/01,12445
2020/12/02,7720
2020/12/03,7394
2020/12/04,6567
2020/12/05,4615
2020/12/06,7304
2020/12/07,7295
2020/12/08,8204
2020/12/09,12365
2020/12/10,7850
2020/12/11,5867
2020/12/12,5604
2020/12/13,7473
2020/12/14,6330
2020/12/15,5034
2020/12/16,12192
2020/12/17,10518
2020/12/18,13693
2020/12/19,10850
2020/12/20,8331
2020/12/21,8956
2020/12/22,6283
2020/12/23,7519
2020/12/24,6321
2020/12/25,5274
2020/12/26,7737
2020/12/27,11866
2020/12/28,11910
2020/12/29,6686
2020/12/30,6759
2020/12/31,6848
2021/01/01,6939
2021/01/02,8771
2021/01/03,19081
2021/01/04,20818
2021/01/05,12811
2021/01/06,13526
2021/01/07,11368
2021/01/08,10659
2021/01/09,9498
2021/01/10,12392
2021/01/11,14501
2021/01/12,10584
2021/01/13,9061
2021/01/14,9367
2021/01/15,16638
2021/01/16,9089
2021/01/17,9528
2021/01/18,11562
2021/01/19,30134
2021/01/20,14704
2021/01/21,14809
2021/01/22,10661
2021/01/23,9344
2021/01/24,13600
2021/01/25,18718
2021/01/26,12601
2021/01/27,13422
2021/01/28,14092
2021/01/29,14839
2021/01/30,12159
2021/01/31,9987
2021/02/01,12505
2021/02/02,23049
2021/02/03,22956
2021/02/04,18854
2021/02/05,19705
2021/02/06,16662
2021/02/07,13541
2021/02/08,15271
2021/02/09,20495
2021/02/10,15824
2021/02/11,12603
2021/02/12,14288
2021/02/13,12381
2021/02/14,12313
2021/02/15,14203
2021/02/16,18965
2021/02/17,17016
2021/02/18,17809
2021/02/19,13291
2021/02/20,17689
2021/02/21,10868
2021/02/22,15010
2021/02/23,16288
2021/02/24,12805
2021/02/25,11221
2021/02/26,12095
2021/02/27,11924
2021/02/28,11789
2021/03/01,11864
2021/03/02,11059
2021/03/03,13188
2021/03/04,10699
2021/03/05,12095
2021/03/06,9476
2021/03/07,14052
2021/03/08,13060
2021/03/09,13572
2021/03/10,12506
2021/03/11,16141
2021/03/12,18020
2021/03/13,17682
2021/03/14,14700
2021/03/15,14038
2021/03/16,15452
2021/03/17,12552
2021/03/18,15854
2021/03/19,17158
2021/03/20,12673
2021/03/21,13575
2021/03/22,20654
2021/03/23,16517
2021/03/24,15197
2021/03/25,18323
2021/03/26,15693
2021/03/27,12069
2021/03/28,11965
2021/03/29,22005
2021/03/30,15532
2021/03/31,18808
2021/04/01,8591
2021/04/02,10781
2021/04/03,34171
2021/04/04,28198
2021/04/05,13478
2021/04/06,8368
2021/04/07,32378
2021/04/08,33661
2021/04/09,27584
2021/04/10,28165
2021/04/11,22446
2021/04/12,27353
2021/04/13,35202
2021/04/14,44170
2021/04/15,34130
2021/04/16,37022
2021/04/17,27593
2021/04/18,44299
2021/04/19,34261
2021/04/20,24962
2021/04/21,27470
2021/04/22,24889
2021/04/23,16503
2021/04/24,21274
2021/04/25,16370
2021/04/26,15942
2021/04/27,19937
2021/04/28,29483
2021/04/29,40573
2021/04/30,31070
2021/05/01,32934
2021/05/02,22312
2021/05/03,45092
2021/05/04,32641
2021/05/05,24782
2021/05/06,36078
2021/05/07,31694
2021/05/08,29966
2021/05/09,21281
2021/05/10,33925
2021/05/11,23569
2021/05/12,31930
2021/05/13,25354
2021/05/14,23844
2021/05/15,18511
2021/05/16,19008
2021/05/17,23003
2021/05/18,30883
2021/05/19,47328
2021/05/20,31240
2021/05/21,29786
2021/05/22,26168
2021/05/23,26923
2021/05/24,25170
2021/05/25,23147
2021/05/26,29736
2021/05/27,29184
2021/05/28,33173
2021/05/29,28110
2021/05/30,18637
2021/05/31,20195
2021/06/01,18813
2021/06/02,18551
2021/06/03,17495
2021/06/04,20887
2021/06/05,36725
2021/06/06,27535
2021/06/07,26752
2021/06/08,20561
2021/06/09,29360
2021/06/10,26529
2021/06/11,25413
2021/06/12,26489
2021/06/13,26452
2021/06/14,37817
2021/06/15,34658
2021/06/16,32356
2021/06/17,31273
2021/06/18,22102
2021/06/19,14446
2021/06/20,17641
2021/06/21,18085
2021/06/22,20787
2021/06/23,27428
2021/06/24,27032
2021/06/25,20816
2021/06/26,20099
2021/06/27,14921
2021/06/28,26153
2021/06/29,27967
2021/06/30,23377
2021/07/01,23095
2021/07/02,29924
2021/07/03,29342
2021/07/04,20533
2021/07/05,21048
2021/07/06,24745
2021/07/07,29445
2021/07/08,31441
2021/07/09,23852
2021/07/10,20983
2021/07/11,19809
2021/07/12,25346
2021/07/13,25896
2021/07/14,26610
2021/07/15,22549
2021/07/16,17381
2021/07/17,19674
2021/07/18,24221
2021/07/19,19768
2021/07/20,26513
2021/07/21,32606
2021/07/22,29734
2021/07/23,30862
2021/07/24,30240
2021/07/25,24998
2021/07/26,24806
2021/07/27,38559
2021/07/28,26647
2021/07/29,25963
2021/07/30,32211
2021/07/31,31256
2021/08/01,31066
2021/08/02,44042
2021/08/03,28971
2021/08/04,35914
2021/08/05,59950
2021/08/06,38799
2021/08/07,44326
2021/08/08,43105
2021/08/09,42178
2021/08/10,38684
2021/08/11,43492
2021/08/12,37591
2021/08/13,31280
2021/08/14,22429
2021/08/15,21107
2021/08/16,31044
2021/08/17,19925
2021/08/18,25625
2021/08/19,25767
2021/08/20,20393
2021/08/21,22018
2021/08/22,21837
2021/08/23,37143
2021/08/24,26620
2021/08/25,27634
2021/08/26,22451
2021/08/27,30536
2021/08/28,22253
2021/08/29,25430
2021/08/30,29169
2021/08/31,34500
2021/09/01,39148
2021/09/02,29021
2021/09/03,37655
2021/09/04,31096
2021/09/05,21893
2021/09/06,28865
2021/09/07,27853
2021/09/08,27909
2021/09/09,31098
2021/09/10,27963
2021/09/11,21104
2021/09/12,23123
2021/09/13,25019
2021/09/14,25406
2021/09/15,27473
2021/09/16,26187
2021/09/17,30198
2021/09/18,26790
2021/09/19,10143
