Date,Total_Tweets
2017/02/02,3207
2017/02/03,2049
2017/02/04,1494
2017/02/05,1482
2017/02/06,1659
2017/02/07,1910
2017/02/08,1987
2017/02/09,1837
2017/02/10,2241
2017/02/11,1893
2017/02/12,1637
2017/02/13,1735
2017/02/14,2320
2017/02/15,3673
2017/02/16,18078
2017/02/17,4287
2017/02/18,3759
2017/02/19,2984
2017/02/20,3469
2017/02/21,3470
2017/02/22,2934
2017/02/23,2862
2017/02/24,3159
2017/02/25,2565
2017/02/26,2853
2017/02/27,3660
2017/02/28,4700
2017/03/01,3865
2017/03/02,3593
2017/03/03,2841
2017/03/04,4207
2017/03/05,2265
2017/03/06,3238
2017/03/07,2307
2017/03/08,2416
2017/03/09,2981
2017/03/10,4173
2017/03/11,3670
2017/03/12,4090
2017/03/13,5321
2017/03/14,4659
2017/03/15,4888
2017/03/16,5545
2017/03/17,4902
2017/03/18,5211
2017/03/19,3449
2017/03/20,5631
2017/03/21,5091
2017/03/22,2852
2017/03/23,3089
2017/03/24,3773
2017/03/25,3030
2017/03/26,2745
2017/03/27,3655
2017/03/28,6384
2017/03/29,5187
2017/03/30,5085
2017/03/31,3084
2017/04/01,3314
2017/04/02,3232
2017/04/03,3608
2017/04/04,4682
2017/04/05,4248
2017/04/06,4721
2017/04/07,4161
2017/04/08,4486
2017/04/09,4161
2017/04/10,4599
2017/04/11,4450
2017/04/12,5287
2017/04/13,5045
2017/04/14,4085
2017/04/15,3791
2017/04/16,3516
2017/04/17,5209
2017/04/18,4328
2017/04/19,3578
2017/04/20,4579
2017/04/21,5261
2017/04/22,3425
2017/04/23,4878
2017/04/24,5366
2017/04/25,5161
2017/04/26,5897
2017/04/27,7181
2017/04/28,6870
2017/04/29,4984
2017/04/30,5280
2017/05/01,6340
2017/05/02,6970
2017/05/03,6506
2017/05/04,6535
2017/05/05,6735
2017/05/06,4174
2017/05/07,5567
2017/05/08,5368
2017/05/09,5336
2017/05/10,5235
2017/05/11,4587
2017/05/12,5607
2017/05/13,5044
2017/05/14,3910
2017/05/15,3769
2017/05/16,4129
2017/05/17,4000
2017/05/18,4757
2017/05/19,4492
2017/05/20,5206
2017/05/21,6573
2017/05/22,8620
2017/05/23,7248
2017/05/24,6984
2017/05/25,10863
2017/05/26,8902
2017/05/27,8319
2017/05/28,7542
2017/05/29,7110
2017/05/30,7591
2017/05/31,8564
2017/06/01,14322
2017/06/02,11204
2017/06/03,6962
2017/06/04,14085
2017/06/05,9714
2017/06/06,9192
2017/06/07,9017
2017/06/08,9147
2017/06/09,10141
2017/06/10,10560
2017/06/11,10853
2017/06/12,14709
2017/06/13,20977
2017/06/14,13279
2017/06/15,13598
2017/06/16,14424
2017/06/17,13221
2017/06/18,12296
2017/06/19,12833
2017/06/20,14042
2017/06/21,13789
2017/06/22,12631
2017/06/23,14903
2017/06/24,null
2017/06/25,null
2017/06/26,null
2017/06/27,null
2017/06/28,null
2017/06/29,null
2017/06/30,null
2017/07/01,null
2017/07/02,null
2017/07/03,null
2017/07/04,null
2017/07/05,null
2017/07/06,null
2017/07/07,null
2017/07/08,null
2017/07/09,null
2017/07/10,null
2017/07/11,null
2017/07/12,16775
2017/07/13,15409
2017/07/14,15372
2017/07/15,14878
2017/07/16,11940
2017/07/17,17557
2017/07/18,17924
2017/07/19,19618
2017/07/20,16516
2017/07/21,15196
2017/07/22,15260
2017/07/23,15441
2017/07/24,16151
2017/07/25,16428
2017/07/26,17958
2017/07/27,15510
2017/07/28,16163
2017/07/29,17486
2017/07/30,13824
2017/07/31,20653
2017/08/01,18520
2017/08/02,16533
2017/08/03,15957
2017/08/04,15293
2017/08/05,14741
2017/08/06,14575
2017/08/07,16000
2017/08/08,17226
2017/08/09,15975
2017/08/10,14397
2017/08/11,14491
2017/08/12,16170
2017/08/13,17483
2017/08/14,20849
2017/08/15,19526
2017/08/16,20372
2017/08/17,23809
2017/08/18,19178
2017/08/19,17123
2017/08/20,20442
2017/08/21,19256
2017/08/22,25436
2017/08/23,19335
2017/08/24,18117
2017/08/25,22563
2017/08/26,19902
2017/08/27,19658
2017/08/28,19258
2017/08/29,20341
2017/08/30,19004
2017/08/31,18299
2017/09/01,16469
2017/09/02,14470
2017/09/03,16968
2017/09/04,22034
2017/09/05,22933
2017/09/06,20095
2017/09/07,17425
2017/09/08,17831
2017/09/09,15866
2017/09/10,18503
2017/09/11,18312
2017/09/12,17549
2017/09/13,19233
2017/09/14,25674
2017/09/15,22983
2017/09/16,19503
2017/09/17,19258
2017/09/18,21316
2017/09/19,21384
2017/09/20,19832
2017/09/21,22931
2017/09/22,21675
2017/09/23,18618
2017/09/24,21095
2017/09/25,23143
2017/09/26,22899
2017/09/27,23949
2017/09/28,23235
2017/09/29,32569
2017/09/30,21553
2017/10/01,24371
2017/10/02,28804
2017/10/03,26739
2017/10/04,35959
2017/10/05,25156
2017/10/06,29486
2017/10/07,40978
2017/10/08,31087
2017/10/09,25922
2017/10/10,27867
2017/10/11,23109
2017/10/12,23367
2017/10/13,26792
2017/10/14,26862
2017/10/15,51682
2017/10/16,29405
2017/10/17,34301
2017/10/18,23900
2017/10/19,27325
2017/10/20,26704
2017/10/21,23877
2017/10/22,20998
2017/10/23,26917
2017/10/24,22407
2017/10/25,22034
2017/10/26,20603
2017/10/27,22838
2017/10/28,19606
2017/10/29,20377
2017/10/30,21067
2017/10/31,22211
2017/11/01,21056
2017/11/02,22040
2017/11/03,20749
2017/11/04,23653
2017/11/05,15005
2017/11/06,16980
2017/11/07,24220
2017/11/08,21261
2017/11/09,19111
2017/11/10,23367
2017/11/11,18178
2017/11/12,16072
2017/11/13,16532
2017/11/14,18786
2017/11/15,21696
2017/11/16,22397
2017/11/17,21023
2017/11/18,20267
2017/11/19,18336
2017/11/20,20334
2017/11/21,18427
2017/11/22,21660
2017/11/23,21303
2017/11/24,23168
2017/11/25,23803
2017/11/26,19878
2017/11/27,22763
2017/11/28,20690
2017/11/29,22704
2017/11/30,17621
2017/12/01,20472
2017/12/02,17078
2017/12/03,17539
2017/12/04,20182
2017/12/05,26773
2017/12/06,20795
2017/12/07,17795
2017/12/08,15642
2017/12/09,15991
2017/12/10,16779
2017/12/11,18670
2017/12/12,19909
2017/12/13,21133
2017/12/14,17654
2017/12/15,17991
2017/12/16,12351
2017/12/17,12168
2017/12/18,15597
2017/12/19,15015
2017/12/20,13441
2017/12/21,15059
2017/12/22,16329
2017/12/23,15641
2017/12/24,13232
2017/12/25,15591
2017/12/26,17175
2017/12/27,15709
2017/12/28,16859
2017/12/29,17809
2017/12/30,17340
2017/12/31,16417
2018/01/01,15766
2018/01/02,20026
2018/01/03,18783
2018/01/04,21032
2018/01/05,19525
2018/01/06,19427
2018/01/07,20428
2018/01/08,8041
2018/01/09,24192
2018/01/10,25715
2018/01/11,22029
2018/01/12,20352
2018/01/13,19098
2018/01/14,20603
2018/01/15,24552
2018/01/16,24678
2018/01/17,23671
2018/01/18,20980
2018/01/19,14776
2018/01/20,20334
2018/01/21,25700
2018/01/22,31778
2018/01/23,23289
2018/01/24,24026
2018/01/25,19995
2018/01/26,18376
2018/01/27,16311
2018/01/28,19854
2018/01/29,27029
2018/01/30,25156
2018/01/31,24375
2018/02/01,27648
2018/02/02,27240
2018/02/03,23291
2018/02/04,20690
2018/02/05,19944
2018/02/06,25671
2018/02/07,27259
2018/02/08,36694
2018/02/09,30593
2018/02/10,28917
2018/02/11,32759
2018/02/12,33918
2018/02/13,22321
2018/02/14,22594
2018/02/15,23780
2018/02/16,28104
2018/02/17,25693
2018/02/18,20198
2018/02/19,20588
2018/02/20,20527
2018/02/21,19990
2018/02/22,18182
2018/02/23,19705
2018/02/24,16638
2018/02/25,17403
2018/02/26,18244
2018/02/27,19739
2018/02/28,21019
2018/03/01,18033
2018/03/02,19374
2018/03/03,null
2018/03/04,null
2018/03/05,null
2018/03/06,null
2018/03/07,null
2018/03/08,null
2018/03/09,null
2018/03/10,null
2018/03/11,null
2018/03/12,null
2018/03/13,null
2018/03/14,null
2018/03/15,null
2018/03/16,null
2018/03/17,null
2018/03/18,null
2018/03/19,null
2018/03/20,null
2018/03/21,null
2018/03/22,null
2018/03/23,null
2018/03/24,null
2018/03/25,null
2018/03/26,null
2018/03/27,null
2018/03/28,null
2018/03/29,null
2018/03/30,null
2018/03/31,null
2018/04/01,null
2018/04/02,null
2018/04/03,null
2018/04/04,null
2018/04/05,null
2018/04/06,null
2018/04/07,25319
2018/04/08,21190
2018/04/09,25309
2018/04/10,25856
2018/04/11,25379
2018/04/12,24696
2018/04/13,22292
2018/04/14,17926
2018/04/15,17958
2018/04/16,22923
2018/04/17,22251
2018/04/18,20823
2018/04/19,21853
2018/04/20,22322
2018/04/21,26416
2018/04/22,24244
2018/04/23,32778
2018/04/24,39034
2018/04/25,32277
2018/04/26,28012
2018/04/27,23927
2018/04/28,20707
2018/04/29,22899
2018/04/30,21235
2018/05/01,22345
2018/05/02,22845
2018/05/03,21888
2018/05/04,21845
2018/05/05,26531
2018/05/06,21560
2018/05/07,20120
2018/05/08,18752
2018/05/09,17990
2018/05/10,18843
2018/05/11,19660
2018/05/12,17229
2018/05/13,17133
2018/05/14,19389
2018/05/15,21123
2018/05/16,19781
2018/05/17,20770
2018/05/18,20202
2018/05/19,17247
2018/05/20,18448
2018/05/21,19802
2018/05/22,18017
2018/05/23,19611
2018/05/24,17732
2018/05/25,18032
2018/05/26,15775
2018/05/27,17270
2018/05/28,17979
2018/05/29,19227
2018/05/30,19800
2018/05/31,18928
2018/06/01,18471
2018/06/02,16847
2018/06/03,16966
2018/06/04,18883
2018/06/05,20020
2018/06/06,19892
2018/06/07,19638
2018/06/08,20170
2018/06/09,17827
2018/06/10,16908
2018/06/11,19136
2018/06/12,21896
2018/06/13,20671
2018/06/14,21647
2018/06/15,24881
2018/06/16,19807
2018/06/17,17825
2018/06/18,21717
2018/06/19,21319
2018/06/20,19476
2018/06/21,17273
2018/06/22,17600
2018/06/23,14447
2018/06/24,13835
2018/06/25,16615
2018/06/26,17436
2018/06/27,17438
2018/06/28,16486
2018/06/29,15426
2018/06/30,13673
2018/07/01,12296
2018/07/02,13269
2018/07/03,15575
2018/07/04,16054
2018/07/05,14007
2018/07/06,15834
2018/07/07,14029
2018/07/08,12901
2018/07/09,14276
2018/07/10,16919
2018/07/11,15593
2018/07/12,13922
2018/07/13,12627
2018/07/14,10603
2018/07/15,13146
2018/07/16,12769
2018/07/17,14974
2018/07/18,13865
2018/07/19,13918
2018/07/20,14646
2018/07/21,12959
2018/07/22,11419
2018/07/23,12976
2018/07/24,14679
2018/07/25,14514
2018/07/26,14076
2018/07/27,11581
2018/07/28,9653
2018/07/29,9679
2018/07/30,12101
2018/07/31,13385
